,Sex,Length,Diameter,Height,Whole weight,Shucked weight,Viscera weight,Shell weight,Age
1788,Female,109.00000000000001,83.0,40.0,271.6,113.4,63.6,80.6,11.5
1785,Female,107.0,85.0,27.0,154.2,75.3,36.3,35.9,9.5
3516,Female,140.0,114.99999999999999,40.0,347.3,155.1,79.3,92.2,12.5
3517,Female,140.0,112.00000000000001,35.0,332.1,172.10000000000002,65.5,79.6,12.5
3520,Female,144.0,109.00000000000001,37.0,343.7,158.5,80.2,93.6,12.5
1778,Female,98.0,71.0,32.0,175.89999999999998,69.69999999999999,43.0,56.49999999999999,9.5
1766,Female,75.0,54.0,27.0,119.39999999999999,54.400000000000006,26.200000000000003,33.5,8.5
1760,Female,150.0,112.99999999999999,43.0,387.6,154.7,96.5,114.99999999999999,12.5
1759,Female,148.0,112.99999999999999,41.0,423.80000000000007,193.1,103.69999999999999,96.4,13.5
1757,Female,146.0,112.00000000000001,38.0,388.5,159.8,103.89999999999999,113.1,12.5
1755,Female,144.0,105.0,36.0,289.0,126.2,64.3,87.0,8.5
1695,Female,126.0,100.0,36.0,239.29999999999998,102.8,46.5,79.9,9.5
3565,Female,114.99999999999999,95.0,32.0,179.0,72.1,44.2,54.2,10.5
1692,Female,125.0,97.0,35.0,272.4,135.3,52.300000000000004,74.1,11.5
1640,Female,114.99999999999999,87.0,30.0,206.1,92.10000000000001,43.6,72.0,9.5
1637,Female,114.99999999999999,93.0,39.0,199.3,83.4,49.4,94.0,9.5
1634,Female,114.99999999999999,94.0,31.0,223.2,101.8,47.6,68.0,11.5
1626,Female,113.99999999999999,90.0,27.0,156.1,66.9,37.0,42.0,9.5
3590,Female,130.0,104.0,39.0,325.5,137.8,78.10000000000001,86.4,12.5
3591,Female,130.0,95.0,33.0,277.5,115.99999999999999,69.69999999999999,61.9,10.5
1623,Female,112.99999999999999,88.0,30.0,172.6,87.0,29.799999999999997,54.0,10.5
3593,Female,131.0,106.0,33.0,256.70000000000005,116.6,25.1,80.0,9.5
3594,Female,132.0,100.0,31.0,275.3,129.7,57.60000000000001,67.0,13.5
1584,Female,103.0,75.0,22.0,121.30000000000001,60.099999999999994,26.200000000000003,30.0,7.5
1524,Female,140.0,110.00000000000001,34.0,336.8,150.7,65.3,64.0,12.5
3606,Female,102.0,75.0,22.0,116.10000000000001,57.3,23.6,29.600000000000005,8.5
1521,Female,136.0,100.0,37.0,348.2,153.29999999999998,65.10000000000001,93.7,13.5
3609,Female,111.00000000000001,81.0,24.0,182.6,91.7,39.2,41.3,10.5
1517,Female,133.0,103.0,36.0,277.8,118.9,64.8,79.0,11.5
3611,Female,118.0,93.0,34.0,208.5,92.7,48.0,54.0,11.5
1514,Female,131.0,108.0,43.0,311.1,139.0,59.20000000000001,88.8,12.5
1512,Female,130.0,100.0,32.0,276.5,140.4,60.8,63.9,10.5
3613,Female,122.0,98.0,34.0,269.5,140.9,50.0,60.9,12.5
1510,Female,130.0,109.00000000000001,35.0,304.9,118.0,65.2,99.0,11.5
1509,Female,129.0,101.0,33.0,263.6,110.00000000000001,60.3,67.0,12.5
1507,Female,129.0,103.0,35.0,309.2,140.7,73.0,83.0,11.5
1506,Female,128.0,103.0,41.0,306.70000000000005,132.7,66.9,80.5,10.5
1643,Female,115.99999999999999,87.0,30.0,166.8,85.6,30.3,46.0,9.5
3583,Female,125.0,100.0,35.0,254.6,112.79999999999998,60.4,74.8,10.5
1647,Female,117.0,89.0,28.000000000000004,182.6,86.1,44.1,50.6,11.5
3582,Female,125.0,95.0,32.0,266.7,121.0,57.49999999999999,63.800000000000004,11.5
1687,Female,124.0,96.0,35.0,208.1,92.8,44.5,60.0,10.5
1683,Female,124.0,96.0,36.0,244.3,116.40000000000002,53.900000000000006,62.6,13.5
1681,Female,124.0,108.0,33.0,227.8,99.9,48.699999999999996,71.4,12.5
1679,Female,124.0,103.0,31.0,265.09999999999997,133.7,52.1,67.0,13.5
3571,Female,117.0,93.0,33.0,187.1,80.7,45.5,51.800000000000004,10.5
3572,Female,117.0,92.0,33.0,211.60000000000002,97.2,50.0,58.8,10.5
1675,Female,122.0,97.0,36.0,255.9,114.7,57.099999999999994,71.0,8.5
3573,Female,119.0,93.0,28.999999999999996,159.1,68.5,35.9,48.5,11.5
1672,Female,122.0,95.0,32.0,223.1,76.7,44.6,75.8,11.5
3574,Female,120.0,94.0,34.0,216.1,99.9,44.9,64.1,10.5
1670,Female,122.0,97.0,30.0,248.1,120.5,58.3,61.7,13.5
1809,Female,128.0,95.0,28.000000000000004,214.5,97.89999999999999,45.9,62.0,9.5
1669,Female,122.0,93.0,32.0,214.5,96.7,50.3,56.00000000000001,11.5
1666,Female,121.0,94.0,31.0,194.8,78.6,44.8,66.9,10.5
1665,Female,121.0,96.0,28.000000000000004,198.2,94.69999999999999,46.9,48.0,9.5
3576,Female,120.0,95.0,31.0,211.80000000000004,88.2,38.0,78.0,12.5
1662,Female,121.0,91.0,28.999999999999996,195.5,93.6,35.5,55.00000000000001,10.5
3578,Female,120.0,95.0,34.0,217.60000000000002,98.1,49.5,62.0,11.5
1659,Female,120.0,96.0,36.0,212.9,89.9,49.1,65.0,11.5
3579,Female,120.0,97.0,28.999999999999996,155.2,70.89999999999999,31.7,47.8,10.5
1656,Female,120.0,95.0,30.0,225.99999999999997,114.99999999999999,39.2,61.0,10.5
1655,Female,120.0,92.0,31.0,194.70000000000002,85.4,40.9,60.0,9.5
3580,Female,124.0,96.0,33.0,208.6,96.7,44.2,62.0,11.5
1651,Female,119.0,87.0,30.0,180.0,83.5,34.0,53.0,9.5
1667,Female,121.0,101.0,36.0,286.8,145.70000000000002,52.800000000000004,86.2,12.5
1504,Female,127.0,101.0,28.999999999999996,226.9,101.0,53.1,63.0,11.5
3503,Female,123.0,98.0,38.0,226.9,93.89999999999999,51.4,69.6,12.5
1815,Female,133.0,103.0,37.0,268.1,111.9,58.599999999999994,87.5,12.5
2056,Female,95.0,76.0,28.000000000000004,137.8,63.3,26.3,39.1,8.5
3423,Female,126.0,95.0,30.0,234.39999999999998,107.2,50.8,63.2,12.5
2051,Female,91.0,71.0,225.99999999999997,118.8,66.4,23.2,26.700000000000003,9.5
3425,Female,130.0,109.00000000000001,37.0,301.1,131.29999999999998,68.2,86.0,11.5
2044,Female,80.0,61.0,32.0,73.6,34.6,14.099999999999998,21.0,8.5
2034,Female,125.0,103.0,36.0,269.7,105.1,50.4,78.5,15.5
2031,Female,120.0,90.0,28.000000000000004,167.4,74.0,35.4,48.5,11.5
2028,Female,113.99999999999999,87.0,30.0,165.9,77.5,31.2,49.0,11.5
2026,Female,112.00000000000001,82.0,32.0,164.3,68.4,36.8,50.6,10.5
2025,Female,110.00000000000001,94.0,30.0,184.1,76.2,48.699999999999996,53.5,11.5
2023,Female,106.0,81.0,26.0,127.1,52.7,31.3,37.0,10.5
2022,Female,106.0,86.0,30.0,148.2,65.0,37.1,39.2,10.5
1984,Female,150.0,110.00000000000001,39.0,366.5,166.0,73.2,88.0,12.5
1983,Female,145.0,113.99999999999999,41.0,323.9,148.8,63.0,97.6,12.5
3441,Female,93.0,71.0,23.0,94.1,39.1,23.6,25.2,8.5
1981,Female,144.0,114.99999999999999,36.0,334.1,146.4,72.1,100.2,13.5
1980,Female,141.0,107.0,44.0,373.2,185.8,76.7,87.9,11.5
1977,Female,140.0,114.99999999999999,41.0,354.6,121.0,89.4,107.59999999999998,14.5
3444,Female,98.0,80.0,23.0,113.79999999999998,51.2,26.5,28.999999999999996,10.5
3447,Female,101.0,78.0,24.0,114.5,51.1,26.5,29.2,9.5
1971,Female,135.0,102.0,37.0,294.6,125.89999999999999,60.5,84.89999999999999,12.5
1969,Female,134.0,106.0,41.0,280.3,128.6,49.3,83.2,13.5
3450,Female,105.0,88.0,25.0,142.3,64.1,31.8,38.3,8.5
3420,Female,119.0,95.0,33.0,229.6,88.8,42.8,74.0,11.5
1966,Female,133.0,100.0,30.0,249.5,92.5,59.099999999999994,71.89999999999999,11.5
2061,Female,100.0,76.0,28.000000000000004,127.1,55.39999999999999,28.6,35.699999999999996,9.5
2065,Female,107.0,84.0,26.0,139.8,62.5,31.3,40.699999999999996,9.5
2107,Female,135.0,110.00000000000001,36.0,337.7,112.4,74.1,120.0,16.5
3399,Female,92.0,70.0,23.0,88.0,38.0,20.5,26.0,9.5
2104,Female,98.0,77.0,25.0,107.89999999999999,43.5,25.6,33.0,12.5
2099,Female,80.0,62.0,23.0,69.3,29.5,13.900000000000002,23.0,11.5
2093,Female,101.0,77.0,23.0,123.2,48.6,21.5,42.0,12.5
2091,Female,101.0,78.0,23.0,132.0,60.9,31.1,35.0,9.5
2089,Female,146.0,111.00000000000001,36.0,337.9,131.1,39.300000000000004,98.7,11.5
4175,Female,125.0,97.0,30.0,218.9,106.2,52.2,59.20000000000001,11.5
2086,Female,142.0,100.0,30.0,263.3,136.7,56.3,56.00000000000001,11.5
2085,Female,141.0,113.99999999999999,37.0,352.2,149.4,74.5,97.6,11.5
2084,Female,138.0,108.0,39.0,250.5,146.0,79.5,92.4,13.5
2082,Female,133.0,105.0,42.0,328.8,163.6,67.9,85.5,11.5
2079,Female,124.0,98.0,32.0,211.20000000000002,98.6,48.8,54.50000000000001,10.5
2077,Female,122.0,86.0,28.000000000000004,181.8,87.6,40.0,44.0,9.5
2076,Female,120.0,94.0,38.0,226.9,98.4,51.9,67.5,11.5
3414,Female,98.0,74.0,21.0,105.3,49.8,20.1,29.600000000000005,8.5
2074,Female,117.0,97.0,30.0,215.79999999999998,82.89999999999999,42.3,71.2,12.5
2073,Female,115.99999999999999,87.0,30.0,167.8,69.69999999999999,41.4,38.4,8.5
3415,Female,112.00000000000001,93.0,32.0,206.3,86.4,40.5,67.4,10.5
2071,Female,112.99999999999999,88.0,27.0,166.0,78.6,34.699999999999996,47.6,10.5
2068,Female,109.00000000000001,86.0,32.0,168.8,78.9,37.1,46.2,10.5
2067,Female,108.0,84.0,26.0,150.1,73.6,33.5,36.9,10.5
2066,Female,108.0,77.0,28.000000000000004,153.1,65.3,23.2,47.3,11.5
3418,Female,115.99999999999999,96.0,36.0,249.9,98.9,54.0,74.2,9.5
3452,Female,111.00000000000001,88.0,28.999999999999996,176.29999999999998,86.0,39.5,43.1,9.5
1964,Female,132.0,107.0,41.0,288.3,118.5,55.50000000000001,98.0,11.5
3453,Female,111.00000000000001,84.0,22.0,186.2,88.9,34.2,45.0,9.5
1924,Female,122.0,92.0,31.0,191.4,85.1,39.5,53.0,9.5
1923,Female,122.0,92.0,28.999999999999996,223.70000000000002,95.6,58.9,59.699999999999996,11.5
1920,Female,121.0,91.0,28.999999999999996,172.4,66.8,39.7,60.0,10.5
1918,Female,120.0,93.0,32.0,226.6,93.2,57.699999999999996,59.599999999999994,12.5
1915,Female,120.0,94.0,27.0,194.0,93.10000000000001,39.1,52.800000000000004,12.5
1910,Female,115.99999999999999,100.0,33.0,185.0,74.0,37.0,60.099999999999994,11.5
1909,Female,115.99999999999999,90.0,39.0,165.3,80.7,34.6,45.0,10.5
1907,Female,114.99999999999999,86.0,31.0,159.1,69.69999999999999,38.5,44.0,10.5
1904,Female,114.99999999999999,93.0,35.0,219.79999999999998,94.69999999999999,40.4,70.0,10.5
1898,Female,113.99999999999999,88.0,24.0,160.6,76.4,30.5,46.8,10.5
3486,Female,101.0,95.0,32.0,223.1,101.8,47.8,61.3,9.5
3489,Female,106.0,84.0,28.000000000000004,125.4,58.099999999999994,23.3,36.6,9.5
1888,Female,112.99999999999999,89.0,25.0,166.1,62.7,35.699999999999996,46.0,12.5
3494,Female,111.00000000000001,86.0,27.0,162.4,81.10000000000001,32.6,44.3,10.5
1875,Female,108.0,85.0,32.0,189.1,73.5,40.1,59.0,10.5
1858,Female,102.0,80.0,24.0,140.1,69.4,22.1,39.0,11.5
3497,Female,117.0,90.0,28.999999999999996,196.70000000000002,96.89999999999999,48.4,44.0,10.5
1821,Female,144.0,110.00000000000001,39.0,414.59999999999997,214.29999999999998,85.3,100.29999999999998,10.5
1820,Female,141.0,109.00000000000001,36.0,307.90000000000003,121.50000000000001,73.5,92.9,14.5
3499,Female,119.0,94.0,33.0,203.10000000000002,98.2,38.1,57.8,10.5
1818,Female,139.0,110.00000000000001,37.0,335.8,161.0,80.30000000000001,79.3,11.5
1817,Female,137.0,107.0,35.0,316.9,143.5,75.5,84.3,10.5
1816,Female,135.0,106.0,35.0,289.29999999999995,135.5,66.0,77.8,11.5
1925,Female,122.0,94.0,33.0,235.70000000000002,113.20000000000002,55.7,58.8,12.5
3471,Female,145.0,115.99999999999999,37.0,304.6,160.9,71.89999999999999,87.5,10.5
1928,Female,123.0,99.0,32.0,250.99999999999997,116.3,63.9,64.5,13.5
3469,Female,143.0,117.0,46.0,414.49999999999994,173.10000000000002,81.89999999999999,112.99999999999999,11.5
1962,Female,131.0,105.0,35.0,269.6,117.10000000000001,52.1,78.8,11.5
1961,Female,131.0,103.0,36.0,282.4,123.9,49.7,99.4,12.5
1960,Female,130.0,102.0,37.0,275.0,106.2,76.8,79.7,11.5
1959,Female,130.0,102.0,31.0,237.8,96.6,55.60000000000001,72.89999999999999,14.5
1957,Female,129.0,104.0,42.0,310.70000000000005,123.2,73.1,94.8,17.5
3454,Female,114.99999999999999,92.0,33.0,213.0,99.7,42.9,56.3,9.5
1955,Female,129.0,102.0,36.0,323.9,156.29999999999998,64.4,93.5,13.5
1954,Female,128.0,97.0,37.0,283.9,134.7,69.3,65.10000000000001,12.5
1951,Female,128.0,103.0,33.0,262.3,98.9,51.1,82.0,11.5
1950,Female,128.0,96.0,28.999999999999996,222.9,101.6,48.0,68.0,11.5
3456,Female,122.0,96.0,32.0,246.8,119.6,47.6,63.0,13.5
1813,Female,131.0,104.0,40.0,309.5,142.6,62.8,93.2,10.5
3457,Female,122.0,99.0,35.0,252.70000000000002,106.0,63.0,69.1,11.5
1945,Female,127.0,101.0,31.0,257.90000000000003,118.8,62.8,69.0,12.5
1944,Female,127.0,104.0,33.0,268.1,101.29999999999998,59.20000000000001,82.4,12.5
1943,Female,127.0,97.0,33.0,253.9,112.7,61.3,67.9,12.5
1941,Female,125.0,94.0,28.999999999999996,196.8,95.0,40.0,53.0,12.5
1940,Female,125.0,104.0,36.0,270.8,96.89999999999999,70.2,75.0,12.5
1939,Female,125.0,89.0,32.0,218.00000000000003,92.0,59.3,60.8,12.5
3461,Female,125.0,99.0,32.0,222.29999999999998,89.9,56.49999999999999,69.0,12.5
3462,Female,125.0,94.0,34.0,250.99999999999997,105.0,48.3,81.0,11.5
3465,Female,128.0,96.0,39.0,228.7,98.3,46.9,70.6,10.5
1932,Female,124.0,99.0,34.0,212.4,74.4,42.6,68.0,12.5
3468,Female,133.0,104.0,33.0,337.7,145.9,81.4,85.3,12.5
3458,Female,122.0,94.0,32.0,214.9,98.5,47.2,57.99999999999999,9.5
1503,Female,126.0,98.0,45.0,267.2,136.1,51.800000000000004,64.9,11.5
1500,Female,126.0,100.0,35.0,222.10000000000002,93.4,53.6,65.8,11.5
3619,Female,128.0,100.0,34.0,224.00000000000003,99.1,52.900000000000006,64.0,13.5
1124,Female,110.00000000000001,86.0,30.0,168.0,79.0,39.0,44.6,9.5
1123,Female,110.00000000000001,83.0,27.0,162.9,85.4,37.1,35.0,9.5
1112,Female,104.0,92.0,30.0,203.8,104.60000000000001,39.7,50.8,8.5
1105,Female,102.0,80.0,25.0,109.00000000000001,52.2,23.0,27.700000000000003,7.5
1103,Female,101.0,78.0,25.0,108.89999999999999,49.2,30.0,28.1,8.5
1051,Female,147.0,120.0,44.0,511.00000000000006,226.7,88.0,120.0,12.5
1050,Female,143.0,105.0,37.0,312.0,133.1,76.6,81.0,12.5
1047,Female,141.0,107.0,36.0,337.0,138.6,84.0,80.9,13.5
1046,Female,139.0,107.0,35.0,367.7,160.7,79.2,100.6,11.5
1042,Female,135.0,112.99999999999999,39.0,367.5,152.89999999999998,72.3,110.6,13.5
1041,Female,135.0,113.99999999999999,45.0,317.4,147.8,59.9,87.0,11.5
1039,Female,132.0,95.0,36.0,273.9,128.2,58.8,67.0,7.5
1036,Female,132.0,101.0,37.0,305.6,138.0,60.5,88.2,12.5
1035,Female,131.0,102.0,35.0,330.5,170.3,67.30000000000001,80.6,11.5
1034,Female,131.0,92.0,32.0,298.8,137.9,66.2,36.5,10.5
3766,Female,111.00000000000001,88.0,28.000000000000004,169.2,69.2,34.300000000000004,54.7,11.5
1030,Female,129.0,103.0,30.0,242.4,103.0,41.099999999999994,77.0,11.5
1029,Female,129.0,100.0,32.0,249.29999999999998,109.5,65.4,60.0,11.5
1027,Female,129.0,101.0,33.0,286.5,136.8,61.6,67.2,9.5
3769,Female,112.00000000000001,86.0,28.999999999999996,179.6,77.9,46.5,49.0,10.5
1024,Female,129.0,100.0,31.0,244.1,122.9,47.2,63.7,11.5
1023,Female,128.0,100.0,35.0,278.8,98.7,58.20000000000001,80.0,11.5
1022,Female,128.0,100.0,34.0,303.5,138.6,65.2,81.8,12.5
1128,Female,112.00000000000001,88.0,31.0,128.1,67.2,35.3,49.0,9.5
3773,Female,114.99999999999999,92.0,30.0,185.4,66.6,41.4,59.699999999999996,10.5
3743,Female,141.0,111.00000000000001,39.0,350.5,142.1,84.3,103.2,13.5
3741,Female,134.0,105.0,39.0,274.0,121.30000000000001,59.099999999999994,81.4,13.5
3714,Female,145.0,112.00000000000001,37.0,358.4,174.6,73.4,87.0,12.5
1174,Female,127.0,99.0,3.0,231.3,102.3,61.6,57.699999999999996,10.5
1170,Female,125.0,97.0,35.0,274.90000000000003,146.70000000000002,54.300000000000004,66.4,10.5
1169,Female,124.0,96.0,32.0,222.5,112.7,48.9,56.2,9.5
1166,Female,123.0,95.0,31.0,205.40000000000003,89.4,50.0,56.99999999999999,10.5
1165,Female,123.0,93.0,30.0,184.6,92.30000000000001,36.5,48.3,10.5
3720,Female,76.0,64.0,23.0,129.5,64.6,26.5,32.8,8.5
1160,Female,121.0,95.0,33.0,211.20000000000002,86.6,43.9,71.4,10.5
3724,Female,97.0,73.0,30.0,182.9,82.89999999999999,39.8,54.6,8.5
1157,Female,121.0,94.0,33.0,235.5,122.2,45.5,58.4,10.5
1155,Female,120.0,93.0,30.0,220.5,109.1,52.400000000000006,50.0,9.5
1153,Female,120.0,95.0,32.0,205.29999999999998,97.0,49.9,51.300000000000004,10.5
1149,Female,115.99999999999999,90.0,31.0,186.0,77.0,49.2,53.0,10.5
3731,Female,110.00000000000001,83.0,36.0,233.1,100.4,60.199999999999996,62.2,10.5
3732,Female,114.99999999999999,84.0,38.0,352.8,182.8,75.4,81.89999999999999,11.5
3738,Female,127.0,101.0,34.0,252.70000000000002,102.4,64.4,71.0,10.5
1139,Female,114.99999999999999,94.0,33.0,173.8,87.0,39.4,47.6,10.5
3739,Female,130.0,105.0,33.0,247.6,129.4,49.7,60.099999999999994,10.5
1137,Female,114.99999999999999,90.0,32.0,213.60000000000002,111.20000000000002,42.8,51.5,11.5
1136,Female,114.99999999999999,92.0,28.999999999999996,198.9,93.2,45.8,53.0,8.5
1134,Female,113.99999999999999,89.0,28.999999999999996,175.5,82.4,43.4,44.0,9.5
3740,Female,130.0,100.0,34.0,280.90000000000003,138.8,63.6,64.7,12.5
1132,Female,112.99999999999999,90.0,35.0,201.9,89.4,47.5,52.900000000000006,10.5
3742,Female,139.0,105.0,41.0,363.7,163.8,80.5,90.5,14.5
1017,Female,126.0,99.0,33.0,261.5,119.8,56.8,63.0,12.5
1015,Female,125.0,97.0,40.0,276.0,116.9,60.4,80.2,10.5
1014,Female,125.0,100.0,33.0,257.6,114.6,60.699999999999996,63.0,10.5
974,Female,106.0,85.0,26.0,151.7,65.0,39.4,41.0,9.5
972,Female,105.0,83.0,28.000000000000004,144.8,69.5,34.6,35.0,9.5
3796,Female,135.0,108.0,42.0,318.6,137.2,63.6,90.0,12.5
970,Female,103.0,86.0,28.000000000000004,166.8,73.4,40.0,46.0,9.5
3798,Female,139.0,107.0,35.0,272.2,109.3,56.3,93.0,11.5
3799,Female,141.0,112.00000000000001,34.0,291.5,121.39999999999999,63.6,88.0,12.5
961,Female,101.0,78.0,26.0,134.8,63.3,28.199999999999996,35.699999999999996,10.5
953,Female,97.0,74.0,23.0,95.7,39.900000000000006,19.1,25.8,8.5
3807,Female,90.0,73.0,23.0,117.7,63.6,24.2,26.5,9.5
3809,Female,104.0,75.0,27.0,107.5,44.2,23.4,34.0,9.5
948,Female,95.0,72.0,24.0,118.30000000000001,64.9,22.0,25.4,7.5
946,Female,94.0,73.0,24.0,116.40000000000002,57.99999999999999,18.4,29.2,9.5
3812,Female,122.0,98.0,34.0,227.4,92.10000000000001,56.49999999999999,68.8,13.5
944,Female,93.0,70.0,25.0,96.4,46.0,21.2,21.9,7.5
931,Female,89.0,67.0,22.0,87.1,40.5,21.9,23.9,7.5
890,Female,139.0,112.00000000000001,44.0,366.8,169.1,84.4,91.0,12.5
889,Female,137.0,108.0,32.0,333.5,166.6,75.5,95.0,12.5
888,Female,136.0,112.00000000000001,39.0,355.5,172.2,64.4,83.0,12.5
887,Female,135.0,105.0,31.0,295.7,125.6,68.10000000000001,84.0,10.5
886,Female,135.0,105.0,34.0,361.90000000000003,156.8,78.2,91.0,13.5
885,Female,134.0,117.0,32.0,261.8,108.89999999999999,58.9,82.6,11.5
879,Female,128.0,102.0,33.0,297.2,151.89999999999998,66.4,64.2,9.5
878,Female,127.0,97.0,33.0,258.9,133.6,52.1,54.300000000000004,10.5
975,Female,106.0,85.0,30.0,169.9,65.6,46.4,40.4,9.5
977,Female,107.0,80.0,27.0,164.3,78.7,39.2,41.0,9.5
3793,Female,133.0,105.0,36.0,315.7,135.6,45.8,91.2,15.5
3792,Female,131.0,104.0,35.0,294.4,125.49999999999999,54.0,90.0,14.5
1013,Female,125.0,95.0,35.0,228.7,95.1,49.5,69.8,11.5
3776,Female,117.0,84.0,31.0,196.9,88.4,43.1,57.49999999999999,14.5
1011,Female,125.0,96.0,34.0,270.5,124.70000000000002,55.60000000000001,73.0,11.5
1010,Female,124.0,102.0,36.0,266.29999999999995,118.8,55.2,77.6,12.5
1009,Female,123.0,96.0,32.0,250.5,117.0,51.9,66.0,9.5
1004,Female,121.0,98.0,30.0,226.9,105.3,52.900000000000006,59.0,10.5
1002,Female,119.0,92.0,28.000000000000004,200.89999999999998,93.10000000000001,41.9,50.3,10.5
3782,Female,124.0,100.0,35.0,221.4,97.89999999999999,48.0,68.6,12.5
1000,Female,119.0,90.0,30.0,222.8,117.30000000000001,44.1,50.0,12.5
999,Female,119.0,94.0,31.0,224.2,90.3,35.6,31.0,12.5
998,Female,118.0,91.0,28.999999999999996,212.6,103.1,48.9,50.0,9.5
1177,Female,129.0,96.0,34.0,226.9,105.60000000000001,50.8,61.0,11.5
994,Female,115.99999999999999,90.0,28.999999999999996,227.4,111.7,44.0,57.99999999999999,9.5
991,Female,115.99999999999999,92.0,30.0,223.1,111.5,45.1,57.99999999999999,8.5
990,Female,114.99999999999999,92.0,32.0,220.6,107.59999999999998,44.2,49.8,10.5
3788,Female,126.0,95.0,30.0,214.4,86.6,59.5,63.0,9.5
3789,Female,129.0,102.0,31.0,225.8,100.29999999999998,48.0,68.4,11.5
986,Female,113.99999999999999,91.0,30.0,221.4,108.0,51.0,54.0,9.5
3790,Female,130.0,101.0,35.0,241.5,102.1,52.400000000000006,78.0,11.5
3791,Female,130.0,99.0,35.0,245.4,105.60000000000001,51.6,74.0,12.5
983,Female,112.99999999999999,80.0,26.0,139.5,61.5,33.300000000000004,36.0,9.5
982,Female,112.00000000000001,91.0,32.0,193.4,90.5,41.4,54.79999999999999,10.5
981,Female,110.00000000000001,86.0,28.000000000000004,162.1,73.6,32.2,55.00000000000001,10.5
980,Female,110.00000000000001,89.0,31.0,198.10000000000002,108.80000000000001,35.6,43.6,10.5
992,Female,115.99999999999999,92.0,36.0,210.3,81.89999999999999,51.9,55.2,9.5
1178,Female,130.0,100.0,38.0,292.8,128.29999999999998,67.8,84.89999999999999,10.5
3712,Female,141.0,106.0,34.0,312.8,122.39999999999999,78.8,88.0,11.5
1181,Female,131.0,102.0,35.0,283.0,117.7,74.5,72.8,11.5
